Row Sort ID,Control ID,Statement ID,Control Statement,Supplemental Guidance
pl-04-D,PL-4,D,Require individuals who have acknowledged a previous version of the rules of behavior to read and re-acknowledge [CCCS Assignment: at least annually and when the rules are revised or changed].,
ps-05-,PS-5,,,"Personnel transfer applies when reassignments or transfers of individuals are permanent or of such extended duration as to make the actions warranted. Organizations define actions appropriate for the types of reassignments or transfers, whether permanent or extended. Actions that may be required for personnel transfers or reassignments to other positions within organizations include returning old and issuing new keys, identification cards, and building passes; closing system accounts and establishing new accounts; changing system access authorizations (i.e., privileges); and providing for access to official records to which individuals had access at previous work locations and in previous system accounts."
ps-05-A,PS-5,A,Review and confirm ongoing operational need for current logical and physical access authorizations to systems and facilities when individuals are reassigned or transferred to other positions within the organization;,
ps-05-B,PS-5,B,Initiate [CCCS Assignment: reassignment of access to data] within [CCCS Assignment: twenty-four (24) hours];,
ps-05-C,PS-5,C,Modify access authorization as needed to correspond with any changes in operational need due to reassignment or transfer; and,
ps-05-D,PS-5,D,Notify [CCCS Assignment: including access control personnel responsible for the system] within [CCCS Assignment: twenty-four (24) hours].,
ps-06-,PS-6,,,"Access agreements include nondisclosure agreements, acceptable use agreements, rules of behavior, and conflict-of-interest agreements. Signed access agreements include an acknowledgement that individuals have read, understand, and agree to abide by the constraints associated with organizational systems to which access is authorized. Organizations can use electronic signatures to acknowledge access agreements unless specifically prohibited by organizational policy."
ps-06-A,PS-6,A,Develop and document access agreements for organizational systems;,
ps-06-B,PS-6,B,Review and update the access agreements [CCCS Assignment: at least annually] ; and,
ps-06-C,PS-6,C,Verify that individuals requiring access to organizational information and systems:,
ps-06-C.1,PS-6,C.1,Sign appropriate access agreements prior to being granted access; and,
ps-06-C.2,PS-6,C.2,Re-sign access agreements to maintain access to organizational systems when access agreements have been updated or [CCCS Assignment: at least annually and any time there is a change to the user's level of access].,
ra-02-,RA-2,,,"Security categories describe the potential adverse impacts or negative consequences to organizational operations, organizational assets, and individuals if organizational information and systems are compromised through a loss of confidentiality, integrity, or availability. Security categorization is also a type of asset loss characterization in systems security engineering processes that is carried out throughout the system development life cycle. Organizations can use privacy risk assessments or privacy impact assessments to better understand the potential adverse effects on individuals. [CNSSI 1253](#4e4fbc93-333d-45e6-a875-de36b878b6b9) provides additional guidance on categorization for national security systems.

Organizations conduct the security categorization process as an organization-wide activity with the direct involvement of chief information officers, senior agency information security officers, senior agency officials for privacy, system owners, mission and business owners, and information owners or stewards. Organizations consider the potential adverse impacts to other organizations and, in accordance with [USA PATRIOT](#13f0c39d-eaf7-417a-baef-69a041878bb5) and Homeland Security Presidential Directives, potential national-level adverse impacts.

Security categorization processes facilitate the development of inventories of information assets and, along with [CM-8](#cm-8) , mappings to specific system components where information is processed, stored, or transmitted. The security categorization process is revisited throughout the system development life cycle to ensure that the security categories remain accurate and relevant."
ra-02-A,RA-2,A,"Categorize the system and information it processes, stores, and transmits;",
ra-02-B,RA-2,B,"Document the security categorization results, including supporting rationale, in the security plan for the system; and",
ra-02-C,RA-2,C,Verify that the authorizing official or authorizing official designated representative reviews and approves the security categorization decision.,
ra-03-,RA-3,,,"Risk assessments consider threats, vulnerabilities, likelihood, and impact to organizational operations and assets, individuals, other organizations, and the Nation. Risk assessments also consider risk from external parties, including contractors who operate systems on behalf of the organization, individuals who access organizational systems, service providers, and outsourcing entities.

Organizations can conduct risk assessments at all three levels in the risk management hierarchy (i.e., organization level, mission/business process level, or information system level) and at any stage in the system development life cycle. Risk assessments can also be conducted at various steps in the Risk Management Framework, including preparation, categorization, control selection, control implementation, control assessment, authorization, and control monitoring. Risk assessment is an ongoing activity carried out throughout the system development life cycle.

Risk assessments can also address information related to the system, including system design, the intended use of the system, testing results, and supply chain-related information or artifacts. Risk assessments can play an important role in control selection processes, particularly during the application of tailoring guidance and in the earliest phases of capability determination."
ra-03-A,RA-3,A,"Conduct a risk assessment, including:",
ra-03-A.1,RA-3,A.1,Identifying threats to and vulnerabilities in the system;,
ra-03-A.2,RA-3,A.2,"Determining the likelihood and magnitude of harm from unauthorized access, use, disclosure, disruption, modification, or destruction of the system, the information it processes, stores, or transmits, and any related information; and",
ra-03-A.3,RA-3,A.3,Determining the likelihood and impact of adverse effects on individuals arising from the processing of personally identifiable information;,
ra-03-B,RA-3,B,Integrate risk assessment results and risk management decisions from the organization and mission or business process perspectives with system-level risk assessments;,
ra-03-C,RA-3,C,Document risk assessment results in [CCCS Assignment: security assessment report];,
ra-03-D,RA-3,D,Review risk assessment results [CCCS Assignment: at least every three (3) years and when a significant change occurs];,
ra-03-E,RA-3,E,Disseminate risk assessment results to [Assignment: organization-defined personnel or roles] ; and,
ra-03-F,RA-3,F,"Update the risk assessment [CCCS Assignment: at least every three (3) years] or when there are significant changes to the system, its environment of operation, or other conditions that may impact the security or privacy state of the system.",
ra-05.06-,RA-5.6,,Compare the results of multiple vulnerability scans using [Assignment: organization-defined automated mechanisms].,Using automated mechanisms to analyze multiple vulnerability scans over time can help determine trends in system vulnerabilities and identify patterns of attack.
sa-04.02-,SA-4.2,,"Require the developer of the system, system component, or system service to provide design and implementation information for the controls that includes: [Selection: security-relevant external system interfaces, high-level design, low-level design, source code or hardware schematics, [Assignment: organization-defined design and implementation information]] at [Assignment: organization-defined level of detail].","Organizations may require different levels of detail in the documentation for the design and implementation of controls in organizational systems, system components, or system services based on mission and business requirements, requirements for resiliency and trustworthiness, and requirements for analysis and testing. Systems can be partitioned into multiple subsystems. Each subsystem within the system can contain one or more modules. The high-level design for the system is expressed in terms of subsystems and the interfaces between subsystems providing security-relevant functionality. The low-level design for the system is expressed in terms of modules and the interfaces between modules providing security-relevant functionality. Design and implementation documentation can include manufacturer, version, serial number, verification hash signature, software libraries used, date of purchase or download, and the vendor or download source. Source code and hardware schematics are referred to as the implementation representation of the system."
sa-04.08-,SA-4.8,,"Require the developer of the system, system component, or system service to produce a plan for continuous monitoring of control effectiveness that is consistent with the continuous monitoring program of the organization.","The objective of continuous monitoring plans is to determine if the planned, required, and deployed controls within the system, system component, or system service continue to be effective over time based on the inevitable changes that occur. Developer continuous monitoring plans include a sufficient level of detail such that the information can be incorporated into continuous monitoring programs implemented by organizations. Continuous monitoring plans can include the types of control assessment and monitoring activities planned, frequency of control monitoring, and actions to be taken when controls fail or become ineffective."
sa-09-,SA-9,,,"External system services are provided by an external provider, and the organization has no direct control over the implementation of the required controls or the assessment of control effectiveness. Organizations establish relationships with external service providers in a variety of ways, including through business partnerships, contracts, interagency agreements, lines of business arrangements, licensing agreements, joint ventures, and supply chain exchanges. The responsibility for managing risks from the use of external system services remains with authorizing officials. For services external to organizations, a chain of trust requires that organizations establish and retain a certain level of confidence that each provider in the consumer-provider relationship provides adequate protection for the services rendered. The extent and nature of this chain of trust vary based on relationships between organizations and the external providers. Organizations document the basis for the trust relationships so that the relationships can be monitored. External system services documentation includes government, service providers, end user security roles and responsibilities, and service-level agreements. Service-level agreements define the expectations of performance for implemented controls, describe measurable outcomes, and identify remedies and response requirements for identified instances of noncompliance."
sa-09-A,SA-9,A,Require that providers of external system services comply with organizational security and privacy requirements and employ the following controls: [Assignment: organization-defined controls];,
sa-09-B,SA-9,B,Define and document organizational oversight and user roles and responsibilities with regard to external system services; and,
sa-09-C,SA-9,C,"Employ the following processes, methods, and techniques to monitor control compliance by external service providers on an ongoing basis: [Assignment: organization-defined processes, methods, and techniques].",
sa-09.04-,SA-9.4,,Take the following actions to verify that the interests of [Assignment: organization-defined external service providers] are consistent with and reflect organizational interests: [Assignment: organization-defined actions].,"As organizations increasingly use external service providers, it is possible that the interests of the service providers may diverge from organizational interests. In such situations, simply having the required technical, management, or operational controls in place may not be sufficient if the providers that implement and manage those controls are not operating in a manner consistent with the interests of the consuming organizations. Actions that organizations take to address such concerns include requiring background checks for selected service provider personnel; examining ownership records; employing only trustworthy service providers, such as providers with which organizations have had successful trust relationships; and conducting routine, periodic, unscheduled visits to service provider facilities."
sa-10.01-,SA-10.1,,"Require the developer of the system, system component, or system service to enable integrity verification of software and firmware components.","Software and firmware integrity verification allows organizations to detect unauthorized changes to software and firmware components using developer-provided tools, techniques, and mechanisms. The integrity checking mechanisms can also address counterfeiting of software and firmware components. Organizations verify the integrity of software and firmware components, for example, through secure one-way hashes provided by developers. Delivered software and firmware components also include any updates to such components."
sa-11.01-,SA-11.1,,"Require the developer of the system, system component, or system service to employ static code analysis tools to identify common flaws and document the results of the analysis.","Static code analysis provides a technology and methodology for security reviews and includes checking for weaknesses in the code as well as for the incorporation of libraries or other included code with known vulnerabilities or that are out-of-date and not supported. Static code analysis can be used to identify vulnerabilities and enforce secure coding practices. It is most effective when used early in the development process, when each code change can automatically be scanned for potential weaknesses. Static code analysis can provide clear remediation guidance and identify defects for developers to fix. Evidence of the correct implementation of static analysis can include aggregate defect density for critical defect types, evidence that defects were inspected by developers or security professionals, and evidence that defects were remediated. A high density of ignored findings, commonly referred to as false positives, indicates a potential problem with the analysis process or the analysis tool. In such cases, organizations weigh the validity of the evidence against evidence from other sources."
sa-11.08-,SA-11.8,,"Require the developer of the system, system component, or system service to employ dynamic code analysis tools to identify common flaws and document the results of the analysis.","Dynamic code analysis provides runtime verification of software programs using tools capable of monitoring programs for memory corruption, user privilege issues, and other potential security problems. Dynamic code analysis employs runtime tools to ensure that security functionality performs in the way it was designed. A type of dynamic analysis, known as fuzz testing, induces program failures by deliberately introducing malformed or random data into software programs. Fuzz testing strategies are derived from the intended use of applications and the functional and design specifications for the applications. To understand the scope of dynamic code analysis and the assurance provided, organizations may also consider conducting code coverage analysis (i.e., checking the degree to which the code has been tested using metrics such as percent of subroutines tested or percent of program statements called during execution of the test suite) and/or concordance analysis (i.e., checking for words that are out of place in software code, such as non-English language words or derogatory terms)."
sc-02-,SC-2,,"Separate user functionality, including user interface services, from system management functionality.","System management functionality includes functions that are necessary to administer databases, network components, workstations, or servers. These functions typically require privileged user access. The separation of user functions from system management functions is physical or logical. Organizations may separate system management functions from user functions by using different computers, instances of operating systems, central processing units, or network addresses; by employing virtualization techniques; or some combination of these or other methods. Separation of system management functions from user functions includes web administrative interfaces that employ separate authentication methods for users of any other system resources. Separation of system and user functions may include isolating administrative interfaces on different domains and with additional access controls. The separation of system and user functionality can be achieved by applying the systems security engineering design principles in [SA-8](#sa-8) , including [SA-8(1)](#sa-8.1), [SA-8(3)](#sa-8.3), [SA-8(4)](#sa-8.4), [SA-8(10)](#sa-8.10), [SA-8(12)](#sa-8.12), [SA-8(13)](#sa-8.13), [SA-8(14)](#sa-8.14) , and [SA-8(18)](#sa-8.18)."
sc-05-,SC-5,,,"Denial-of-service events may occur due to a variety of internal and external causes, such as an attack by an adversary or a lack of planning to support organizational needs with respect to capacity and bandwidth. Such attacks can occur across a wide range of network protocols (e.g., IPv4, IPv6). A variety of technologies are available to limit or eliminate the origination and effects of denial-of-service events. For example, boundary protection devices can filter certain types of packets to protect system components on internal networks from being directly affected by or the source of denial-of-service attacks. Employing increased network capacity and bandwidth combined with service redundancy also reduces the susceptibility to denial-of-service events."
sc-05-A,SC-5,A,"[Selection: protect against, limit] the effects of the following types of denial-of-service events: [Assignment: organization-defined types of denial-of-service events] ; and",
sc-05-B,SC-5,B,Employ the following controls to achieve the denial-of-service objective: [Assignment: organization-defined controls by type of denial-of-service event].,
sc-07-,SC-7,,,"Managed interfaces include gateways, routers, firewalls, guards, network-based malicious code analysis, virtualization systems, or encrypted tunnels implemented within a security architecture. Subnetworks that are physically or logically separated from internal networks are referred to as demilitarized zones or DMZs. Restricting or prohibiting interfaces within organizational systems includes restricting external web traffic to designated web servers within managed interfaces, prohibiting external traffic that appears to be spoofing internal addresses, and prohibiting internal traffic that appears to be spoofing external addresses. [SP 800-189](#f5edfe51-d1f2-422e-9b27-5d0e90b49c72) provides additional information on source address validation techniques to prevent ingress and egress of traffic with spoofed addresses. Commercial telecommunications services are provided by network components and consolidated management systems shared by customers. These services may also include third party-provided access lines and other service elements. Such services may represent sources of increased risk despite contract security provisions. Boundary protection may be implemented as a common control for all or part of an organizational network such that the boundary to be protected is greater than a system-specific boundary (i.e., an authorization boundary)."
sc-07-A,SC-7,A,Monitor and control communications at the external managed interfaces to the system and at key internal managed interfaces within the system;,
sc-07-B,SC-7,B,"Implement subnetworks for publicly accessible system components that are [Selection: physically, logically] separated from internal organizational networks; and",
sc-07-C,SC-7,C,Connect to external networks or systems only through managed interfaces consisting of boundary protection devices arranged in accordance with an organizational security and privacy architecture.,
sc-12.02-,SC-12.2,,"Produce, control, and distribute symmetric cryptographic keys using [Selection: CMVP-validated, CCCS-approved, prepositioned keying material] key management technology and processes.","CCCS ITSP.40.111 provides recommendations for cryptographic key establishment schemes and key derivation functions that can be used to produce symmetric keys shared between two parties. These schemes are to be used in a network security protocol, such as those listed in CCCS ITSP.40.062 with further configuration guidance therein."
sc-12.03-,SC-12.3,,"Produce, control, and distribute asymmetric cryptographic keys using [Selection: CCCS-approved key management technology and processes;, prepositioned keying material;, CCCS-approved or CCCS-issued Medium Assurance PKI certificates;, CCCS-approved or CCCS-issued Medium Hardware Assurance PKI certificates and hardware security tokens that protect the user's private key;, certificates issued in accordance with organization-defined requirements].","CCCS ITSP.40.111 provides recommendations for approved specifications of asymmetric cryptography and recommends that implementations, including key generation, execute within CMVP-validated cryptographic modules. CCCS ITSP.40.062 provides guidance on asymmetric key management within a Public Key Infrastructure (PKI)."
sc-18-,SC-18,,,"Mobile code includes any program, application, or content that can be transmitted across a network (e.g., embedded in an email, document, or website) and executed on a remote system. Decisions regarding the use of mobile code within organizational systems are based on the potential for the code to cause damage to the systems if used maliciously. Mobile code technologies include Java applets, JavaScript, HTML5, WebGL, and VBScript. Usage restrictions and implementation guidelines apply to both the selection and use of mobile code installed on servers and mobile code downloaded and executed on individual workstations and devices, including notebook computers and smart phones. Mobile code policy and procedures address specific actions taken to prevent the development, acquisition, and introduction of unacceptable mobile code within organizational systems, including requiring mobile code to be digitally signed by a trusted source."
sc-18-A,SC-18,A,Define acceptable and unacceptable mobile code and mobile code technologies; and,
sc-18-B,SC-18,B,"Authorize, monitor, and control the use of mobile code within the system.",
sc-28-,SC-28,,"Protect the [Selection: confidentiality, integrity] of the following information at rest: [Assignment: organization-defined information at rest].","Information at rest refers to the state of information when it is not in process or in transit and is located on system components. Such components include internal or external hard disk drives, storage area network devices, or databases. However, the focus of protecting information at rest is not on the type of storage device or frequency of access but rather on the state of the information. Information at rest addresses the confidentiality and integrity of information and covers user information and system information. System-related information that requires protection includes configurations or rule sets for firewalls, intrusion detection and prevention systems, filtering routers, and authentication information. Organizations may employ different mechanisms to achieve confidentiality and integrity protections, including the use of cryptographic mechanisms and file share scanning. Integrity protection can be achieved, for example, by implementing write-once-read-many (WORM) technologies. When adequate protection of information at rest cannot otherwise be achieved, organizations may employ other controls, including frequent scanning to identify malicious code at rest and secure offline storage in lieu of online storage."
si-02-,SI-2,,,"The need to remediate system flaws applies to all types of software and firmware. Organizations identify systems affected by software flaws, including potential vulnerabilities resulting from those flaws, and report this information to designated organizational personnel with information security and privacy responsibilities. Organizations consider establishing a controlled patching environment for mission-critical systems. Security-relevant updates include patches, service packs, and malicious code signatures. Organizations also address flaws discovered during assessments, continuous monitoring, incident response activities, and system error handling. By incorporating flaw remediation into configuration management processes, required remediation actions can be tracked and verified.

Organization-defined time periods for updating security-relevant software and firmware may vary based on a variety of risk factors, including the security category of the system, the criticality of the update (i.e., severity of the vulnerability related to the discovered flaw), the organizational risk tolerance, the mission supported by the system, or the threat environment. Some types of flaw remediation may require more testing than other types. Organizations determine the type of testing needed for the specific type of flaw remediation activity under consideration and the types of changes that are to be configuration-managed. Flaw remediation testing addresses both effectiveness of addressing security issues and for potential side effects on functionality, system and system component performance and operations. When implementing remediation activities, organizations consider the order and timing of updates to validate correct execution within the system environment, and to support system and component availability needs (i.e., implementing a staggered deployment strategy). In some situations, organizations may determine that the testing of software or firmware updates is not necessary or practical, such as when implementing simple malicious code signature updates. In testing decisions, organizations consider whether security-relevant software or firmware updates are obtained from authorized sources with appropriate digital signatures.

When implementing remediation activities, organizations consider the order and timing of updates to validate correct execution within the system environment, and to support system and component availability needs (i.e., implementing a staggered deployment strategy). Organizations verify that software and firmware updates come from authorized sources prior to downloading."
si-02-A,SI-2,A,"Identify, report, and correct system flaws;",
si-02-B,SI-2,B,Test software and firmware updates related to flaw remediation for effectiveness and potential side effects before installation;,
si-02-C,SI-2,C,Install security-relevant software and firmware updates within [CCCS Assignment: within thirty (30) days of release of updates] of the release of the updates; and,
si-02-D,SI-2,D,Incorporate flaw remediation into the organizational configuration management process.,
si-03-,SI-3,,,"System entry and exit points include firewalls, remote access servers, workstations, electronic mail servers, web servers, proxy servers, notebook computers, and mobile devices. Malicious code includes viruses, worms, Trojan horses, and spyware. Malicious code can also be encoded in various formats contained within compressed or hidden files or hidden in files using techniques such as steganography. Malicious code can be inserted into systems in a variety of ways, including by electronic mail, the world-wide web, and portable storage devices. Malicious code insertions occur through the exploitation of system vulnerabilities. A variety of technologies and methods exist to limit or eliminate the effects of malicious code.

Malicious code protection mechanisms include both signature- and nonsignature-based technologies. Nonsignature-based detection mechanisms include artificial intelligence techniques that use heuristics to detect, analyze, and describe the characteristics or behavior of malicious code and to provide controls against such code for which signatures do not yet exist or for which existing signatures may not be effective. Malicious code for which active signatures do not yet exist or may be ineffective includes polymorphic malicious code (i.e., code that changes signatures when it replicates). Nonsignature-based mechanisms also include reputation-based technologies. In addition to the above technologies, pervasive configuration management, comprehensive software integrity controls, and anti-exploitation software may be effective in preventing the execution of unauthorized code. Malicious code may be present in commercial off-the-shelf software as well as custom-built software and could include logic bombs, backdoors, and other types of attacks that could affect organizational mission and business functions.

In situations where malicious code cannot be detected by detection methods or technologies, organizations rely on other types of controls, including secure coding practices, configuration management and control, trusted procurement processes, and monitoring practices to ensure that software does not perform functions other than the functions intended. Organizations may determine that, in response to the detection of malicious code, different actions may be warranted. For example, organizations can define actions in response to malicious code detection during periodic scans, the detection of malicious downloads, or the detection of maliciousness when attempting to open or execute files."
si-03-A,SI-3,A,Implement [CCCS Assignment: signature based and non-signature based] malicious code protection mechanisms at system entry and exit points to detect and eradicate malicious code;,
si-03-B,SI-3,B,Automatically update malicious code protection mechanisms as new releases are available in accordance with organizational configuration management policy and procedures;,
si-03-C,SI-3,C,Configure malicious code protection mechanisms to:,
si-03-C.1,SI-3,C.1,"Perform periodic scans of the system [CCCS Assignment: at least weekly] and real-time scans of files from external sources at [CCCS Assignment: to include endpoints and network entry and exit points] as the files are downloaded, opened, or executed in accordance with organizational policy; and",
si-03-C.2,SI-3,C.2,[CCCS Assignment: to include blocking and quarantining malicious code] ; and send alert to [CCCS Assignment: administrators or organization-defined personnel or roles] in response to malicious code detection; and,
si-03-D,SI-3,D,Address the receipt of false positives during malicious code detection and eradication and the resulting potential impact on the availability of the system.,
si-04.01-,SI-4.1,,Connect and configure individual intrusion detection tools into a system-wide intrusion detection system.,"Linking individual intrusion detection tools into a system-wide intrusion detection system provides additional coverage and effective detection capabilities. The information contained in one intrusion detection tool can be shared widely across the organization, making the system-wide detection capability more robust and powerful."
si-04.07-,SI-4.7,,,Least-disruptive actions include initiating requests for human responses.
si-04.07-A,SI-4.7,A,Notify [Assignment: organization-defined incident response personnel (identified by name and/or by role)] of detected suspicious events; and,
si-04.07-B,SI-4.7,B,Take the following actions upon detection: [Assignment: organization-defined least-disruptive actions to terminate suspicious events].,
si-07.01-,SI-7.1,,"Perform an integrity check of [Assignment: organization-defined organization-defined software, firmware, and information] [Selection: at startup, at [Assignment: organization-defined organization-defined transitional states or security-relevant events], [CCCS Assignment: at least monthly]].","Security-relevant events include the identification of new threats to which organizational systems are susceptible and the installation of new hardware, software, or firmware. Transitional states include system startup, restart, shutdown, and abort."
